((22,10),(25,12)); 10
((22,10),(25,13)); 6
((22,10),(25,14)); 252
((22,10),(25,15)); 82
((22,10),(25,16)); 93
((22,10),(25,17)); 213
((22,10),(25,18)); 74
((22,10),(25,19)); 203
((22,10),(25,0)); 10
((22,10),(25,1)); 8
((22,10),(25,2)); 8
((22,10),(25,3)); 6
((22,10),(25,4)); 8
((22,10),(25,5)); 8
((22,10),(25,6)); 6
((22,10),(25,7)); 7
((22,10),(25,8)); 9
((22,10),(25,9)); 6
((22,10),(25,20)); 95
((22,10),(25,21)); 72
((22,10),(11,12)); 168
((22,10),(11,13)); 124
((22,10),(11,14)); 7
((22,10),(11,15)); 13
((22,10),(11,16)); 15
((22,10),(11,17)); 14
((22,10),(11,18)); 11
((22,10),(11,19)); 11
((22,10),(11,0)); 5
((22,10),(11,1)); 109
((22,10),(11,2)); 113
((22,10),(11,3)); 128
((22,10),(11,4)); 105
((22,10),(11,5)); 109
((22,10),(11,6)); 123
((22,10),(11,7)); 96
((22,10),(11,8)); 158
((22,10),(11,9)); 127
((22,10),(11,20)); 14
((22,10),(11,21)); 19
((22,10),(12,13)); 120
((22,10),(12,14)); 11
((22,10),(12,15)); 11
((22,10),(12,16)); 13
((22,10),(12,17)); 14
((22,10),(12,18)); 11
((22,10),(12,19)); 12
((22,10),(12,0)); 9
((22,10),(12,1)); 93
((22,10),(12,2)); 103
((22,10),(12,3)); 127
((22,10),(12,4)); 95
((22,10),(12,5)); 117
((22,10),(12,6)); 116
((22,10),(12,7)); 105
((22,10),(12,8)); 161
((22,10),(12,9)); 127
((22,10),(12,20)); 18
((22,10),(12,21)); 19
((22,10),(13,14)); 7
((22,10),(13,15)); 8
((22,10),(13,16)); 10
((22,10),(13,17)); 9
((22,10),(13,18)); 7
((22,10),(13,19)); 7
((22,10),(13,0)); 9
((22,10),(13,1)); 193
((22,10),(13,2)); 198
((22,10),(13,3)); 300
((22,10),(13,4)); 180
((22,10),(13,5)); 202
((22,10),(13,6)); 257
((22,10),(13,7)); 185
((22,10),(13,8)); 121
((22,10),(13,9)); 301
((22,10),(13,20)); 14
((22,10),(13,21)); 13
((22,10),(14,15)); 65
((22,10),(14,16)); 75
((22,10),(14,17)); 184
((22,10),(14,18)); 64
((22,10),(14,19)); 194
((22,10),(14,0)); 9
((22,10),(14,1)); 9
((22,10),(14,2)); 8
((22,10),(14,3)); 7
((22,10),(14,4)); 8
((22,10),(14,5)); 11
((22,10),(14,6)); 9
((22,10),(14,7)); 6
((22,10),(14,8)); 9
((22,10),(14,9)); 7
((22,10),(14,20)); 97
((22,10),(14,21)); 72
((22,10),(15,16)); 414
((22,10),(15,17)); 83
((22,10),(15,18)); 199
((22,10),(15,19)); 87
((22,10),(15,0)); 9
((22,10),(15,1)); 10
((22,10),(15,2)); 11
((22,10),(15,3)); 11
((22,10),(15,4)); 10
((22,10),(15,5)); 13
((22,10),(15,6)); 10
((22,10),(15,7)); 9
((22,10),(15,8)); 11
((22,10),(15,9)); 10
((22,10),(15,20)); 153
((22,10),(15,21)); 215
((22,10),(16,17)); 97
((22,10),(16,18)); 206
((22,10),(16,19)); 93
((22,10),(16,0)); 10
((22,10),(16,1)); 12
((22,10),(16,2)); 13
((22,10),(16,3)); 13
((22,10),(16,4)); 12
((22,10),(16,5)); 15
((22,10),(16,6)); 12
((22,10),(16,7)); 11
((22,10),(16,8)); 13
((22,10),(16,9)); 12
((22,10),(16,20)); 167
((22,10),(16,21)); 218
