# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
    1229.286      100.400     4944.602    21138.742
    1231.289      168.800     4944.602    21138.742
    1233.291       99.900     4944.602    21138.742
    1235.293      100.400     4944.602    21138.742
    1237.295       99.900     4944.602    21138.742
    1239.298      169.800     4944.602    21138.742
    1241.300       99.900     4944.602    21138.742
    1243.300      100.500     4944.602    21138.742
    1245.303       99.900     4944.602    21138.742
    1247.305       99.900     4944.602    21138.742
    1249.307      100.400     4944.602    21138.742
    1251.309       99.900     4944.602    21138.742
    1253.312      174.800     4944.602    21138.742
    1255.314      102.400     4944.602    21138.742
    1257.316      100.400     4944.602    21138.742
    1259.318      171.300     4944.602    21138.742
    1261.320       99.900     4944.602    21138.742
    1263.323       99.900     4944.715    21138.742
    1265.325      145.300     4944.715    21138.742
    1267.327      124.400     4944.715    21138.742
    1269.328      100.900     4944.715    21138.742
    1271.331      100.900     4944.715    21138.742
    1273.333       99.900     4944.715    21138.742
    1275.335      100.400     4944.715    21138.742
    1277.337      167.800     4944.715    21138.742
    1279.340       99.900     4944.715    21138.742
    1281.342       99.900     4944.715    21138.742
    1283.344      100.400     4944.715    21138.742
    1285.346      169.800     4944.715    21138.742
    1287.349      108.900     4944.715    21138.742
    1289.351      164.300     4944.715    21138.742
    1291.353       99.900     4944.715    21138.742
    1293.355       99.900     4944.715    21138.742
    1295.358      163.800     4944.715    21138.742
    1297.360      105.400     4944.715    21138.742
    1299.362       99.900     4944.715    21138.742
    1301.364      100.400     4944.715    21138.742
    1303.367      168.800     4944.715    21138.742
    1305.369       99.900     4944.715    21138.742
    1307.371       99.900     4944.715    21138.742
    1309.373       99.900     4944.715    21138.742
    1311.376       99.900     4944.715    21138.742
    1313.376      100.500     4944.715    21138.742
    1315.379       99.900     4944.715    21138.742
    1317.381      100.400     4944.715    21138.742
    1319.383       99.900     4944.715    21138.742
    1321.385       99.900     4944.715    21138.742
    1323.388       99.900     4944.715    21138.742
    1325.388      100.500     4944.715    21138.742
    1327.391       99.900     4944.715    21138.742
    1329.392       99.900     4944.715    21138.742
    1331.395       99.900     4944.715    21138.742
    1333.397      100.400     4944.715    21138.742
    1335.399       99.900     4944.715    21138.742
    1337.401       99.900     4944.715    21138.742
    1339.404       99.900     4944.715    21138.742
    1341.406      100.400     4944.715    21138.742
    1343.408       99.900     4944.715    21138.742
    1345.410       99.900     4944.715    21138.742
    1347.413      100.400     4944.715    21138.742
